index,autorTopicOne,autor,enfase,uf,partido,url,foto,email,id,rotulo
1,4,18/9 Έναρξη Φεστιβάλ - Συζήτηση Πανεπιστήμιο και Εθελοντισμός,0.405934704304837,10:00-12:00,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=opening,conference.png,,,Έναρξη Φεστιβάλ
2,4,18/9 Γίνε κι εσύ φωτογράφος γίνε ένας/μία από μας,0.405934704304837,12:00,Πανεπιστημίούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=photoexhibition,photoexhibition.png,,,Έναρξη Φεστιβάλ
3,3,19/9 Φοιτητές συμμετέχουν στο Φεστιβάλ Μη Κυβερνητικών Οργανώσεων,0.405934704304837,16:00-10:00,Οδός Λήδρας,https://www.facebook.com/events/501962596574050,ngofair.png,,,Έναρξη Φεστιβάλ
4,4,Επαγγελματικές Ευκαιρίες και Εμπειρίες σε Μη Κυβερνητικές Οργανώσεις,0.605934704304837,12:00-13:30,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=efkairies,jobsopportunities.png,,,Δευ 22/9 - ΜΚΟ
5,1,Καφές με Μη Κυβερνητικές Οργανώσεις και το Πρόγραμμα Εθελοντών Φοιτητών,0.605934704304837,13:30-16:30,Πανεπιστημίουπολη,http://respectfest.ac.cy/wp/?ai1ec_event=coffeewithngo,coffeetime.png,,,Δευ 22/9 - ΜΚΟ
6,1,Παρουσίαση Βιβλίου "Σεξουαλικότητες",0.505934704304837,18:30-21:00,Κεντρικά,http://respectfest.ac.cy/wp/?ai1ec_event=booklaunch,booklaunch.png,,,Δευ 22/9 - ΜΚΟ
7,1,Ανθρώπινη Βιβλιοθήκη,0.905934704304837,17:00-20:00,Κεντρικά,http://respectfest.ac.cy/wp/?ai1ec_event=humanlibrary,humanlibrary.png,,,Τρι 23/9 - Ανθρώπινη Βιβλιοθήκη
8,1,Θεατρικό Δρώμενο,0.705934704304837,20:30-22:00,Κεντρικά,http://respectfest.ac.cy/wp/?ai1ec_event=theater,forumetheater.png,,,Τρι 23/9 - Ανθρώπινη Βιβλιοθήκη
9,1,Πολυπολιτισμικός-Ιστορικός Περίπατος στη Λευκωσία,0.705934704304837,17:30-20:00,Λήδρα Πάλας,http://respectfest.ac.cy/wp/?ai1ec_event=multiculturalwalk,nicosia.png,,,Τετ 24/9 - Βραδιά Ομίλων
10,1,Βραδιά Ομίλων,0.905934704304837,20:00,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=vradiaomilwn,vradia.png,,,Τετ 24/9 - Βραδιά Ομίλων
11,1,ΠαίξεΜάθεΔράσε,0.305934704304837,10:30-12:00,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=sel,playact.png,,,Πεμ 25/9 - Παιγνίδια
12,1,3colors3cultures,0.305934704304837,12:00-13:30,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=3colors,rgb.png,,,Πεμ 25/9 - Παιγνίδια
12,1,Προσοχή Παρακολουθούμε!,0.305934704304837,13:30-15:00,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=prosoxi,watching.png,,,Πεμ 25/9 - Παιγνίδια
14,1,ALBATROSS: Διαπολιτισμική Προσομοίωση,0.305934704304837,15:00-16:30,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=albatross,albatross.png,,,Πεμ 25/9 - Παιγνίδια
15,1,Moksha-Patamu: Επιτραπέζιο Παιχνίδι Κοινωνικών Τάξεων και Δικαιωμάτων,0.305934704304837,16:30-18:00,Πανεπιστημιούπολη,http://respectfest.ac.cy/wp/?ai1ec_event=mokshapatamu,mokshapatamu.png,,,Πεμ 25/9 - Παιγνίδια
